run,dataset,model,use_ea,calibrated,uncertainty_score,coverage_target,mean_accuracy_all,mean_macro_f1,mean_brier,mean_ece,mean_selective_accuracy,mean_selective_risk,mean_coverage_observed,n_subjects
smoke_deep_one_subject,BCI_IV_2a,deep_ensemble_validation_weighted,True,True,max-prob,0.6,0.7465277777777778,0.7404665610332147,0.3497653990209758,0.0929888039046406,0.8323699421965318,0.1676300578034681,0.6006944444444444,1
smoke_deep_one_subject,BCI_IV_2a,eegnet_calibrated,True,True,max-prob,0.6,0.5416666666666666,0.5074627940193978,0.5531060013775618,0.0752989484220728,0.5722543352601156,0.4277456647398844,0.6006944444444444,1
smoke_deep_one_subject,BCI_IV_2a,eegnet_uncalibrated,True,False,max-prob,0.6,0.5416666666666666,0.5074627940193978,0.5517984312571086,0.0723163636292965,0.5722543352601156,0.4277456647398844,0.6006944444444444,1
smoke_deep_one_subject,BCI_IV_2a,spatial_calibrated,True,True,max-prob,0.6,0.7777777777777778,0.774577546075718,0.3134421108948479,0.0450893297368379,0.8728323699421965,0.1271676300578035,0.6006944444444444,1
smoke_deep_one_subject,BCI_IV_2a,spatial_uncalibrated,True,False,max-prob,0.6,0.7777777777777778,0.774577546075718,0.315487332124061,0.04905754906466,0.8670520231213873,0.1329479768786127,0.6006944444444444,1
smoke_deep_one_subject,BCI_IV_2a,v1_lda,True,True,max-prob,0.6,0.7256944444444444,0.7237543832633633,0.4091934881538396,0.1761511816124151,0.8439306358381503,0.1560693641618497,0.6006944444444444,1
headline_bci_iv_2a/classical_lda,BCI_IV_2a,v1_lda,True,True,max-prob,0.6,0.4348695286195286,0.3553337952821962,0.6722788544291141,0.1760177973301197,0.5243029047151634,0.4756970952848365,0.6008698092031426,9
smoke_lda_one_subject,BCI_IV_2a,v1_lda,True,True,max-prob,0.6,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.8439306358381503,0.1560693641618497,0.6006944444444444,1
smoke_lda,BCI_IV_2a,v1_lda,True,True,max-prob,0.6,0.4348695286195286,0.3553617244444751,0.6722904484563915,0.1760386148482126,0.5236606439572957,0.4763393560427043,0.6008698092031426,9
smoke_lda_one_subject_2,BCI_IV_2a,v1_lda,True,True,max-prob,0.6,0.7256944444444444,0.7237543832633633,0.4091934887442534,0.1761511823526346,0.8439306358381503,0.1560693641618497,0.6006944444444444,1
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,deep_ensemble_validation_weighted,True,True,max-prob,0.6,0.6980920314253648,0.6954327673723537,0.4028423238763429,0.0584379291210895,0.7827664069348005,0.2172335930651995,0.6008698092031426,9
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,eegnet_calibrated,True,True,max-prob,0.6,0.6030794051627385,0.5961155850774053,0.4955455199715211,0.0567329736455822,0.6860879856844521,0.3139120143155479,0.6008698092031426,9
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,eegnet_uncalibrated,True,False,max-prob,0.6,0.6030794051627385,0.5961155850774053,0.4968409888824572,0.0686729129340169,0.6854457249265844,0.3145542750734156,0.6008698092031426,9
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,spatial_calibrated,True,True,max-prob,0.6,0.6991792929292929,0.6963721820007197,0.4038764452474981,0.0735934798436854,0.7792723468369668,0.2207276531630332,0.6008698092031426,9
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,spatial_uncalibrated,True,False,max-prob,0.6,0.6991792929292929,0.6963721820007197,0.4162140577231977,0.0974883888484582,0.7799146075948344,0.2200853924051655,0.6008698092031426,9
full_deep_bci_iv_2a_validation_postcal,BCI_IV_2a,v1_lda,True,True,max-prob,0.6,0.4348695286195286,0.3553337952821962,0.6722788544291141,0.1760177973301197,0.5243029047151634,0.4756970952848365,0.6008698092031426,9
